"area","technique","when_to_use","data_needed","key_parameters","statistical_checks","r_entry","python_entry","sql_role"
"Imbalance","Resampling and SMOTE","Minority class has too few examples for the learner.","Training rows only, binary or multiclass target.","sampling_strategy, k_neighbors","Leakage from resampling before split, calibration.","ROSE, themis::step_smote","imblearn SMOTE","Mark training-only resampled data."
"Probability decisions","Threshold tuning","The default 0.5 cutoff is not decision-optimal.","Predicted probabilities, outcomes, cost matrix.","threshold, metric, cost_ratio","Calibration, class imbalance, business cost.","yardstick, pROC","precision_recall_curve, roc_curve","Store threshold metric table."
"Probability decisions","Probability calibration","Predicted probabilities are too high or too low.","Validation predictions and true labels.","method, calibration_bins","Brier score, calibration curve, sample size.","isotone, rms, caret calibration","CalibratedClassifierCV","Create calibration bins."
"Uncertainty","Conformal prediction","You need prediction intervals with empirical coverage.","Train/calibration/test split, residuals or scores.","coverage_level, calibration_size","Exchangeability, group/time violations.","conformalInference","MAPIE, nonconformist","Store calibration residuals."
"Search strategy","Manual grid search","You need a transparent teaching grid.","Parameter grid, folds, metric.","grid_values, metric, folds","Grid too narrow/wide, multiple comparisons.","expand.grid plus loops","GridSearchCV","Store one row per candidate."
"Search strategy","Random search","The search space is large and not all parameters matter equally.","Parameter distributions, folds, budget.","n_iter, distributions, seed","Budget, reproducibility, metric variance.","caret random search","RandomizedSearchCV","Store candidate parameters."
"Search strategy","Bayesian optimization","Model training is expensive and search space is continuous.","Objective function, bounds, validation metric.","acquisition_function, iterations, bounds","Overfitting to validation metric, noisy objective.","ParBayesianOptimization, mlrMBO","Optuna, scikit-optimize","Store trial history."
"Search strategy","Early stopping","Boosting or neural networks can overfit with too many rounds.","Training and validation set or folds.","patience, max_rounds, eval_metric","Validation leakage, noisy stopping point.","xgb.cv early_stopping_rounds","early_stopping_rounds, n_iter_no_change","Store learning curves."
"Ensembles","Stacking","Different model families make complementary errors.","Out-of-fold predictions, base learners, meta learner.","base_models, meta_model, folds","Leakage from in-sample predictions, overfit meta learner.","stacks, caretEnsemble","StackingRegressor, StackingClassifier","Store out-of-fold predictions."
"Ensembles","Blending","You want a simple holdout-based ensemble.","Train and blend holdout predictions.","weights, blend_set_size","Holdout representativeness, overfit weights.","custom weighted average","VotingRegressor, custom blend","Store model prediction columns."
"Interpretability","Permutation importance","You need model-agnostic feature impact after tuning.","Fitted model, validation data, metric.","n_repeats, metric, random_seed","Correlated predictors, unstable importance.","vip, iml","permutation_importance","Create validation scoring table."
"Interpretability","Partial dependence and ICE","You need to explain nonlinear model behavior.","Fitted model, feature grid, validation rows.","features, grid_resolution","Extrapolation, correlated features.","pdp, iml","PartialDependenceDisplay","Create feature grids."
"Interpretability","SHAP analysis","You need local explanations for tree or tabular models.","Fitted model and feature matrix.","background_sample, explainer_type","Correlation, causal overclaiming, runtime.","shapviz, fastshap","shap","Store prediction explanations."
"Monitoring","Model drift monitoring","A deployed model may degrade over time.","Scored rows by time, features, predictions, outcomes when available.","window_size, drift_metric, alert_threshold","Data drift, target drift, calibration drift.","custom summaries, pins","evidently, custom pandas","Aggregate feature and metric windows."
"Monitoring","Champion/challenger comparison","You need to decide whether a candidate beats production.","Paired predictions, outcomes, model ids.","comparison_metric, paired_test, minimum_lift","Paired design, multiple metrics, cost.","t.test on paired loss, bootstrap","paired bootstrap, permutation test","Store paired prediction table."
"LLM evaluation","Prompt and model tuning","You tune prompts or model settings with statistical discipline.","One row per output, prompt, model, item, evaluator score.","temperature, top_p, prompt_version, model_id","Randomized item assignment, rater agreement, calibration, cost.","lm/glm by prompt_id, mixed models","statsmodels, sklearn calibration","Store evaluation table by prompt and model."
"Documentation","Model card","Every tuned model needs a readable decision record.","Target, grain, predictors, split, metrics, assumptions, limitations.","owner, version, metric, cutoff","Diagnostics complete, reproducibility, ethical risks.","rmarkdown, quarto","markdown report","Store metadata and results."
